when harry met sally...,1989,105044
escape from alcatraz,1979,57521
the godfather: part iii,1990,173281
the town,2010,195984
pacific rim,2013,104813
the curse of the were-rabbit,2005,71722
the skin i live in,2011,66188
the kite runner,2007,53388
the counterfeiters,2007,27541
funny games,1997,29138
the man who wasn't there,2001,65592
love me if you dare,2003,39094
flipped,2010,32767
the naked gun: from the files of police squad!,1988,77121
straw dogs,1971,34487
batman,1989,192940
sherlock holmes,2009,311061
the omen,1976,54662
rise of the planet of the apes,2011,242903
la vie en rose,2007,43828
volver,2006,57090
after hours,1985,26878
the blind swordsman: zatoichi,2003,32384
a few good men,1992,130533
garden state,2004,153095
falling down,1993,99605
the hunt for red october,1990,104212
moulin rouge!,2001,171965
the abyss,1989,96349
the reader,2008,131240
the guns of navarone,1961,26354
equilibrium,2002,189139
lost highway,1997,69129
the sandlot,1993,38887
leaving las vegas,1995,71001
american psycho,2000,231106
army of darkness,1992,92102
the assassination of jesse james by the coward robert ford,2007,102901
marathon man,1976,32084
mud,2012,37248
harry potter and the goblet of fire,2005,251210
the crow,1994,101621
tucker and dale vs evil,2010,81368
the evil dead,1981,96221
the impossible,2012,87458
hunger,2008,30659
die hard: with a vengeance,1995,206417
following,1998,42762
"good night, and good luck.",2005,68494
whale rider,2002,28698
an american werewolf in london,1981,43604
a history of violence,2005,142755
the raid: redemption,2011,77000
my name is khan,2010,32107
looper,2012,262864
jackie brown,1997,166171
dead man walking,1995,56220
high fidelity,2000,108381
x2,2003,252687
the royal tenenbaums,2001,144688
house of flying daggers,2004,69753
animal house,1978,68049
seven pounds,2008,164557
apollo 13,1995,149143
dead alive,1992,59254
interview with the vampire: the vampire chronicles,1994,174519
doubt,2008,71108
the last temptation of christ,1988,29826
ice age,2002,205894
the man who knew too much,1956,29362
robocop,1987,114220
up in the air,2009,193724
the fly,1986,80003
[rec],2007,90645
field of dreams,1989,64439
blow,2001,140853
headhunters,2011,47367
the little mermaid,1989,93445
the world's end,2013,31174
robin hood,1973,48274
a simple plan,1998,38895
the piano,1993,47860
"planes, trains & automobiles",1987,61066
the meaning of life,1983,55130
scott pilgrim vs. the world,2010,180991
ip man 2: legend of the grandmaster,2010,36318
the wave,2008,47098
enemy at the gates,2001,125447
waking life,2001,34169
quiz show,1994,40004
american splendor,2003,34509
the orphanage,2007,88577
boys don't cry,1999,57454
gangs of new york,2002,213388
a single man,2009,59041
midnight run,1988,40379
ghost dog: the way of the samurai,1999,53725
star trek: first contact,1996,75426
american graffiti,1973,48263
perfume: the story of a murderer,2006,133844
to catch a thief,1955,31608
lincoln,2012,120561
42,2013,30328
from russia with love,1963,59452
total recall,1990,166921
elizabeth,1998,57830
tell no one,2006,25229
hoosiers,1986,25780
felon,2008,53043
the aviator,2004,176942
the texas chain saw massacre,1974,65365
the constant gardener,2005,84628
babel,2006,183528
a nightmare on elm street,1984,96178
we need to talk about kevin,2011,57652
rust and bone,2012,25747
sweeney todd: the demon barber of fleet street,2007,200429
jacob's ladder,1990,54376
witness,1985,48243
reign over me,2007,69845
the great debaters,2007,33601
source code,2011,237968
the wind that shakes the barley,2006,27971
the fisher king,1991,43650
pi,1998,103814
the ice storm,1997,37427
ghost world,2001,73242
pleasantville,1998,78728
the three burials of melquiades estrada,2005,27620
the devil's backbone,2001,34192
bullitt,1968,33767
the hours,2002,77056
the painted veil,2006,57874
sleepy hollow,1999,191638
mean streets,1973,48912
green street hooligans,2005,82077
zero dark thirty,2012,134710
take shelter,2011,44118
heavenly creatures,1994,38731
notes on a scandal,2006,49822
iron man 3,2013,261257
i am sam,2001,90041
sherlock holmes: a game of shadows,2011,216100
secondhand lions,2003,32581
sleepers,1996,114843
"crazy, stupid, love.",2011,234042
in the bedroom,2001,26777
the natural,1984,26801
the place beyond the pines,2012,82519
open range,2003,41427
bambi,1942,56025
fried green tomatoes,1991,37774
the big blue,1988,27884
the hurricane,1999,54066
the simpsons movie,2007,189895
in the loop,2009,31380
the proposition,2005,34489
spider-man 2,2004,250906
everything is illuminated,2005,39789
blue valentine,2010,94325
raising arizona,1987,73342
far from heaven,2002,29023
alice in wonderland,1951,61775
rudy,1993,30183
malena,2000,44576
brick,2005,65624
poltergeist,1982,67079
the queen,2006,62806
the descendants,2011,144619
august rush,2007,63311
capote,2005,66733
x-men,2000,272060
trading places,1983,69767
a perfect world,1993,42611
cube,1997,107714
beetlejuice,1988,123685
man on the moon,1999,76787
the mission,1986,32670
carrie,1976,79092
the squid and the whale,2005,46076
the devil's advocate,1997,178328
chaplin,1992,30377
dracula,1992,100664
dawn of the dead,2004,140542
clerks ii,2006,91815
la femme nikita,1990,41623
master and commander: the far side of the world,2003,127628
2046,2004,32157
running scared,2006,71096
christmas vacation,1989,69512
biutiful,2010,44970
life as a house,2001,32082
dirty pretty things,2002,26608
transamerica,2005,29550
driving miss daisy,1989,45691
say anything...,1989,46513
suspiria,1977,31707
the bucket list,2007,129900
tootsie,1982,57551
my cousin vinny,1992,61300
harry potter and the half-blood prince,2009,200990
wonder boys,2000,45807
the life of david gale,2003,63523
the adventures of tintin,2011,127083
menace ii society,1993,28257
lady and the tramp,1955,43841
harry potter and the order of the phoenix,2007,232236
corpse bride,2005,124100
the bridges of madison county,1995,39174
miracle,2004,26601
mission: impossible - ghost protocol,2011,235770
bad education,2004,34154
bound,1996,31435
rescue dawn,2006,63190
freedom writers,2007,37400
lars and the real girl,2007,84129
best in show,2000,36616
wall street,1987,88200
the neverending story,1984,63709
revolutionary road,2008,108402
the rock,1996,196261
harry potter and the sorcerer's stone,2001,288579
dumbo,1941,50435
pirate radio,2009,65900
precious,2009,59031
the great gatsby,2013,132638
mr. brooks,2007,94801
hustle & flow,2005,26843
across the universe,2007,72927
excalibur,1981,36149
the cider house rules,1999,60942
swingers,1996,50160
grosse pointe blank,1997,58066
red cliff,2008,26578
layer cake,2004,95778
michael clayton,2007,104562
superman,1978,91037
limitless,2011,243886
a bridge too far,1977,29595
easy rider,1969,55945
chasing amy,1997,89355
king kong,2005,234828
labyrinth,1986,63968
peter pan,1953,42996
sleeping beauty,1959,56180
shallow grave,1994,34192
fish tank,2009,31691
an education,2009,83047
the english patient,1996,98832
terms of endearment,1983,28023
the croods,2013,46459
the next three days,2010,103078
irreversible,2002,60089
rounders,1998,90149
invictus,2009,85736
invasion of the body snatchers,1978,25072
mulan,1998,92177
vacation,1983,44851
angel heart,1987,45311
rango,2011,121825
spider-man,2002,347135
eraserhead,1977,45234
buffalo '66,1998,27658
thelma & louise,1991,71511
back to the future part iii,1990,163634
death at a funeral,2007,68736
crazy heart,2009,46364
flight,2012,148197
"paris, je t'aime",2006,50129
legends of the fall,1994,77164
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,224196
beverly hills cop,1984,85290
the animatrix,2003,46388
the lincoln lawyer,2011,113531
much ado about nothing,1993,29190
home alone,1990,183017
dr. no,1962,81412
the hudsucker proxy,1994,50443
cape fear,1991,92146
the piano teacher,2001,25938
before the devil knows you're dead,2007,64552
the talented mr. ripley,1999,98493
live free or die hard,2007,255288
jane eyre,2011,38389
closer,2004,130579
kung fu panda 2,2011,105922
murder on the orient express,1974,25666
matchstick men,2003,81742
animal kingdom,2010,32241
cinderella,1950,62829
punch-drunk love,2002,77296
videodrome,1983,40427
the ghost writer,2010,99646
the way back,2010,60183
the guard,2011,41894
contact,1997,137323
law abiding citizen,2009,146357
this is the end,2013,79673
my sister's keeper,2009,49609
pirates of the caribbean: dead man's chest,2006,336662
ring,1998,37178
face/off,1997,202340
the fountain,2006,140176
shame,2011,88255
monster,2003,75726
planet terror,2007,125016
dogma,1999,142288
me and you and everyone we know,2005,25973
beasts of the southern wild,2012,48319
the road,2009,121017
frailty,2001,43220
"the adventures of priscilla, queen of the desert",1994,26831
the bank job,2008,115990
the crying game,1992,31776
megamind,2010,108639
seabiscuit,2003,46264
election,1999,57339
deconstructing harry,1997,26353
winter's bone,2010,77499
gosford park,2001,51972
shrek 2,2004,205351
the people vs. larry flynt,1996,54989
wristcutters: a love story,2006,34420
sunshine,2007,133699
heathers,1988,39977
cars,2006,152161
half nelson,2006,53365
cache (hidden),2005,38904
rocknrolla,2008,139486
the descent,2005,106800
the dead zone,1983,30818
frida,2002,44424
audition,1999,40324
the emperor's new groove,2000,77762
chocolat,2000,109405
harry potter and the chamber of secrets,2002,256037
"synecdoche, new york",2008,34523
quills,2000,35544
the science of sleep,2006,49632
lawless,2012,106842
identity,2003,125629
caddyshack,1980,58278
cashback,2006,53448
from dusk till dawn,1996,147539
four lions,2010,38023
mongol: the rise of genghis khan,2007,29026
the mist,2007,154489
jerry maguire,1996,133753
submarine,2010,37312
ronin,1998,111873
frequency,2000,61185
forgetting sarah marshall,2008,159182
the 40-year-old virgin,2005,209700
big,1988,103161
harry brown,2009,55256
k-pax,2001,102062
a tale of two sisters,2003,31041
in the valley of elah,2007,48512
unbreakable,2000,179680
eyes wide shut,1999,161949
a time to kill,1996,67447
thirteen days,2000,35223
the hitcher,1986,26821
re-animator,1985,26136
star trek iv: the voyage home,1986,43565
the terminal,2004,195113
true lies,1994,136278
enemy of the state,1998,137760
in the line of fire,1993,55937
